participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic
6,bl_filler_2,4,5.039,1,bimodal,,questionable,filler,ball,,,,,,,5
6,bl_filler_3,5,1.442,1,bimodal,,acceptable,filler,ball,,,,,,,5
6,bl_filler_4,3,5.046,1,bimodal,,acceptable,filler,ball,,,,,,,5
6,bl_filler_5,5,2.268,1,bimodal,,acceptable,filler,ball,,,,,,,5
6,bl_filler_6,2,2.749,1,bimodal,,unacceptable,filler,ball,,,,,,,5
6,bl_filler_7,2,3.665,1,bimodal,,questionable,filler,ball,,,,,,,5
6,bl_filler_8,2,10.079,1,bimodal,,questionable,filler,ball,,,,,,,5
6,bl_filler_9,1,2.746,1,bimodal,,unacceptable,filler,ball,,,,,,,5
6,bl_filler_10,4,2.534,1,bimodal,,acceptable,filler,ball,,,,,,,5
6,sp_filler_1,3,6.148,1,unimodal,,questionable,filler,spring,,,,,,,4
6,sp_filler_2,5,1.969,1,unimodal,,acceptable,filler,spring,,,,,,,4
6,sp_filler_3,5,2.076,1,unimodal,,acceptable,filler,spring,,,,,,,4
6,sp_filler_4,3,3.536,1,unimodal,,questionable,filler,spring,,,,,,,4
6,sp_filler_5,3,2.605,1,unimodal,,questionable,filler,spring,,,,,,,4
6,sp_filler_6,5,1.906,1,unimodal,,acceptable,filler,spring,,,,,,,4
6,sp_filler_7,3,1.96,1,unimodal,,questionable,filler,spring,,,,,,,4
6,sp_filler_8,1,1.65,1,unimodal,,unacceptable,filler,spring,,,,,,,4
6,sp_filler_9,5,2.109,1,unimodal,,acceptable,filler,spring,,,,,,,4
6,sp_filler_10,1,1.723,1,unimodal,,unacceptable,filler,spring,,,,,,,4
7,bl_test_1,5,2.343,2,unimodal,big expensive,,test,ball,big,expensive,scalar,first,,,5
7,bl_test_2,5,2.48,2,unimodal,expensive big,,test,ball,big,expensive,scalar,second,,,5
7,bl_test_3,5,6.311,2,unimodal,striped big,,test,ball,big,striped,absolute,second,,,5
7,bl_test_4,5,2.964,2,unimodal,big striped,,test,ball,big,striped,absolute,first,,,5
7,bl_test_5,3,3.277,2,unimodal,big cheap,,test,ball,big,cheap,scalar,first,,,5
7,bl_test_6,3,4.765,2,unimodal,cheap big,,test,ball,big,cheap,scalar,second,,,5
7,bl_test_7,5,2.815,2,unimodal,big plastic,,test,ball,big,plastic,absolute,first,,,5
7,bl_test_8,5,6.589,2,unimodal,plastic big,,test,ball,big,plastic,absolute,second,,,5
7,sp_test_1,5,4.266,2,bimodal,long expensive,,test,spring,long,expensive,scalar,first,,,5
7,sp_test_2,5,3.592,2,bimodal,expensive long,,test,spring,long,expensive,scalar,second,,,5
7,sp_test_3,4,3.732,2,bimodal,plastic long,,test,spring,long,plastic,absolute,second,,,5
7,sp_test_4,5,4.471,2,bimodal,long plastic,,test,spring,long,plastic,absolute,first,,,5
7,sp_test_5,4,6.087,2,bimodal,cheap long,,test,spring,long,cheap,scalar,second,,,5
7,sp_test_6,4,3.535,2,bimodal,long cheap,,test,spring,long,cheap,scalar,first,,,5
7,sp_test_7,5,3.758,2,bimodal,metal long,,test,spring,long,metal,absolute,second,,,5
7,sp_test_8,1,6.609,2,bimodal,long metal,,test,spring,long,metal,absolute,first,,,5
7,bl_filler_1,5,3.609,2,unimodal,,questionable,filler,ball,,,,,,,5
7,bl_filler_2,3,6.605,2,unimodal,,questionable,filler,ball,,,,,,,5
7,bl_filler_3,5,3.096,2,unimodal,,acceptable,filler,ball,,,,,,,5
7,bl_filler_4,5,2.72,2,unimodal,,acceptable,filler,ball,,,,,,,5
7,bl_filler_5,5,2.617,2,unimodal,,acceptable,filler,ball,,,,,,,5
7,bl_filler_6,1,4.375,2,unimodal,,unacceptable,filler,ball,,,,,,,5
7,bl_filler_7,5,4.205,2,unimodal,,questionable,filler,ball,,,,,,,5
7,bl_filler_8,3,5.945,2,unimodal,,questionable,filler,ball,,,,,,,5
7,bl_filler_9,2,9.475,2,unimodal,,unacceptable,filler,ball,,,,,,,5
7,bl_filler_10,5,3.994,2,unimodal,,acceptable,filler,ball,,,,,,,5
7,sp_filler_1,5,3.762,2,bimodal,,questionable,filler,spring,,,,,,,5
7,sp_filler_2,3,2.787,2,bimodal,,acceptable,filler,spring,,,,,,,5
7,sp_filler_3,4,8.529,2,bimodal,,acceptable,filler,spring,,,,,,,5
7,sp_filler_4,5,4.515,2,bimodal,,questionable,filler,spring,,,,,,,5
7,sp_filler_5,5,4.145,2,bimodal,,questionable,filler,spring,,,,,,,5
7,sp_filler_6,5,1.924,2,bimodal,,acceptable,filler,spring,,,,,,,5
7,sp_filler_7,4,14.219,2,bimodal,,questionable,filler,spring,,,,,,,5
7,sp_filler_8,5,2.647,2,bimodal,,unacceptable,filler,spring,,,,,,,5
7,sp_filler_9,5,4.465,2,bimodal,,acceptable,filler,spring,,,,,,,5
7,sp_filler_10,1,5.652,2,bimodal,,unacceptable,filler,spring,,,,,,,5
8,bl_test_1,5,2.391,1,bimodal,big expensive,,test,ball,big,expensive,scalar,first,,,5
8,bl_test_2,1,3.509,1,bimodal,expensive big,,test,ball,big,expensive,scalar,second,,,5
8,bl_test_3,1,2.539,1,bimodal,striped big,,test,ball,big,striped,absolute,second,,,5
8,bl_test_4,5,2.366,1,bimodal,big striped,,test,ball,big,striped,absolute,first,,,5
8,bl_test_5,5,3.079,1,bimodal,big cheap,,test,ball,big,cheap,scalar,first,,,5
8,bl_test_6,1,2.885,1,bimodal,cheap big,,test,ball,big,cheap,scalar,second,,,5
8,bl_test_7,5,2.462,1,bimodal,big plastic,,test,ball,big,plastic,absolute,first,,,5
8,bl_test_8,1,2.928,1,bimodal,plastic big,,test,ball,big,plastic,absolute,second,,,5
8,sp_test_1,5,3.357,1,unimodal,long expensive,,test,spring,long,expensive,scalar,first,,,4
8,sp_test_2,2,4.987,1,unimodal,expensive long,,test,spring,long,expensive,scalar,second,,,4
8,sp_test_3,1,4.264,1,unimodal,plastic long,,test,spring,long,plastic,absolute,second,,,4
8,sp_test_4,5,3.336,1,unimodal,long plastic,,test,spring,long,plastic,absolute,first,,,4
8,sp_test_5,4,5.937,1,unimodal,cheap long,,test,spring,long,cheap,scalar,second,,,4
8,sp_test_6,5,2.917,1,unimodal,long cheap,,test,spring,long,cheap,scalar,first,,,4
8,sp_test_7,1,2.936,1,unimodal,metal long,,test,spring,long,metal,absolute,second,,,4
8,sp_test_8,5,3.521,1,unimodal,long metal,,test,spring,long,metal,absolute,first,,,4
8,bl_filler_1,3,4.254,1,bimodal,,questionable,filler,ball,,,,,,,5
8,bl_filler_2,1,2.402,1,bimodal,,questionable,filler,ball,,,,,,,5
8,bl_filler_3,5,2.189,1,bimodal,,acceptable,filler,ball,,,,,,,5
8,bl_filler_4,5,2.342,1,bimodal,,acceptable,filler,ball,,,,,,,5
8,bl_filler_5,5,2.411,1,bimodal,,acceptable,filler,ball,,,,,,,5
8,bl_filler_6,1,2.728,1,bimodal,,unacceptable,filler,ball,,,,,,,5
8,bl_filler_7,1,2.519,1,bimodal,,questionable,filler,ball,,,,,,,5
8,bl_filler_8,1,2.526,1,bimodal,,questionable,filler,ball,,,,,,,5
8,bl_filler_9,1,3.233,1,bimodal,,unacceptable,filler,ball,,,,,,,5
8,bl_filler_10,5,2.833,1,bimodal,,acceptable,filler,ball,,,,,,,5
8,sp_filler_1,2,9.203,1,unimodal,,questionable,filler,spring,,,,,,,4
8,sp_filler_2,5,2.594,1,unimodal,,acceptable,filler,spring,,,,,,,4
8,sp_filler_3,5,3.253,1,unimodal,,acceptable,filler,spring,,,,,,,4
8,sp_filler_4,2,4.963,1,unimodal,,questionable,filler,spring,,,,,,,4
8,sp_filler_5,1,4.15,1,unimodal,,questionable,filler,spring,,,,,,,4
8,sp_filler_6,5,2.586,1,unimodal,,acceptable,filler,spring,,,,,,,4
8,sp_filler_7,1,10.466,1,unimodal,,questionable,filler,spring,,,,,,,4
8,sp_filler_8,5,3.06,1,unimodal,,unacceptable,filler,spring,,,,,,,4
8,sp_filler_9,5,3.821,1,unimodal,,acceptable,filler,spring,,,,,,,4
8,sp_filler_10,1,4.098,1,unimodal,,unacceptable,filler,spring,,,,,,,4
9,bl_test_1,3,6.95,1,bimodal,big expensive,,test,ball,big,expensive,scalar,first,,,5
9,bl_test_2,3,4.357,1,bimodal,expensive big,,test,ball,big,expensive,scalar,second,,,5
9,bl_test_3,2,7.2,1,bimodal,striped big,,test,ball,big,striped,absolute,second,,,5
9,bl_test_4,5,3.922,1,bimodal,big striped,,test,ball,big,striped,absolute,first,,,5
9,bl_test_5,4,6.373,1,bimodal,big cheap,,test,ball,big,cheap,scalar,first,,,5
9,bl_test_6,5,4.169,1,bimodal,cheap big,,test,ball,big,cheap,scalar,second,,,5
9,bl_test_7,5,3.845,1,bimodal,big plastic,,test,ball,big,plastic,absolute,first,,,5
9,bl_test_8,1,3.821,1,bimodal,plastic big,,test,ball,big,plastic,absolute,second,,,5
9,sp_test_1,4,12.701,1,unimodal,long expensive,,test,spring,long,expensive,scalar,first,,,4
9,sp_test_2,4,34.396,1,unimodal,expensive long,,test,spring,long,expensive,scalar,second,,,4
