participant,id,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,group,condition,response,time
8,tv_filler_4,,acceptable,filler,tv,,,,,1,bimodal,5,4.894
8,tv_filler_5,,acceptable,filler,tv,,,,,1,bimodal,5,2.618
8,tv_filler_6,,unacceptable,filler,tv,,,,,1,bimodal,1,4.497
8,tv_filler_7,,unacceptable,filler,tv,,,,,1,bimodal,1,2.76
8,tv_filler_8,,unacceptable,filler,tv,,,,,1,bimodal,2,4.769
8,tv_filler_9,,unacceptable,filler,tv,,,,,1,bimodal,1,4.036
8,tv_filler_10,,acceptable,filler,tv,,,,,1,bimodal,5,2.06
8,ch_filler_1,,questionable,filler,couch,,,,,1,unimodal,5,2.95
8,ch_filler_2,,acceptable,filler,couch,,,,,1,unimodal,5,1.96
8,ch_filler_3,,acceptable,filler,couch,,,,,1,unimodal,5,2.863
8,ch_filler_4,,questionable,filler,couch,,,,,1,unimodal,5,1.965
8,ch_filler_5,,questionable,filler,couch,,,,,1,unimodal,5,3.076
8,ch_filler_6,,acceptable,filler,couch,,,,,1,unimodal,5,2.205
8,ch_filler_7,,unacceptable,filler,couch,,,,,1,unimodal,1,3.264
8,ch_filler_8,,unacceptable,filler,couch,,,,,1,unimodal,1,4.422
8,ch_filler_9,,acceptable,filler,couch,,,,,1,unimodal,5,2.431
8,ch_filler_10,,unacceptable,filler,couch,,,,,1,unimodal,1,3.715
9,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,5,1.802
9,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,5,2.048
9,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,5,5.019
9,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,5,1.772
9,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,5,2.818
9,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,5,2.221
9,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,5,1.561
9,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,5,4.202
9,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,2,12.876
9,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,5,2.387
9,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,1,1.765
9,ch_test_4,long leather,,test,couch,long,leather,absolute,first,2,bimodal,5,1.81
9,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,2,bimodal,5,2.941
9,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,2,bimodal,2,3.273
9,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,2,bimodal,5,5.916
